date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
2012-11-10,2013,0,,GSW,DEN,1427.4117,1576.9272,0.42922002646450663,0.5707799735354934,1421.0266,1583.3124,,,,,,,,,,,101,107,45,"",""
2012-11-10,2013,0,,POR,SAS,1453.2422,1677.7871,0.32806759562295684,0.6719324043770432,1449.9064,1681.1229,,,,,,,,,,,109,112,72,"",""
2012-11-10,2013,0,,IND,WAS,1545.9747,1421.1359,0.7848700963463582,0.21512990365364182,1548.281,1418.8296,,,,,,,,,,,89,85,37,"",""
2012-11-10,2013,0,,CHO,DAL,1238.2786,1533.1604,0.24567202869098267,0.7543279713090173,1249.5822,1521.8568,,,,,,,,,,,101,97,4,"",""
2012-11-10,2013,0,,HOU,DET,1494.7465,1400.0626,0.7541167959623231,0.24588320403767694,1500.2191,1394.59,,,,,,,,,,,96,82,23,"",""
2012-11-11,2013,0,,LAL,SAC,1529.4589,1405.6838,0.7838344051967693,0.21616559480323072,1533.9518,1401.1909,,,,,,,,,,,103,90,30,"",""
2012-11-11,2013,0,,BRK,ORL,1412.4287,1436.3955,0.6077066266391958,0.39229337336080417,1419.1438,1429.6804,,,,,,,,,,,82,74,15,"",""
2012-11-11,2013,0,,OKC,CLE,1655.8643,1357.2145,0.9084465183021007,0.09155348169789934,1657.7334,1355.3453,,,,,,,,,,,106,91,42,"",""
2012-11-11,2013,0,,LAC,ATL,1580.7529,1547.6481,0.682701081993421,0.31729891800657894,1587.7803,1540.6207,,,,,,,,,,,89,76,75,"",""
2012-11-11,2013,0,,MEM,MIA,1607.0181,1667.33,0.5568686254608981,0.4431313745391019,1620.101,1654.2471,,,,,,,,,,,104,86,94,"",""
2012-11-12,2013,0,,DAL,MIN,1521.8568,1438.0229,0.742352723438876,0.25764727656112396,1506.0524,1453.8274,,,,,,,,,,,82,90,37,"",""
2012-11-12,2013,0,,DET,OKC,1394.59,1657.7334,0.28107633386800246,0.7189236661319975,1392.1873,1660.1361,,,,,,,,,,,90,92,53,"",""
2012-11-12,2013,0,,POR,ATL,1449.9064,1540.6207,0.5133600156301398,0.4866399843698602,1440.5146,1550.0125,,,,,,,,,,,87,95,43,"",""
2012-11-12,2013,0,,TOR,UTA,1419.2877,1534.0813,0.4787231550227009,0.5212768449772991,1411.3271,1542.0419,,,,,,,,,,,133,140,35,"",""
2012-11-12,2013,0,,HOU,MIA,1500.2191,1654.2471,0.4228681873631138,0.5771318126368862,1495.6868,1658.7794,,,,,,,,,,,110,113,78,"",""
2012-11-12,2013,0,,CHI,BOS,1590.2074,1570.0204,0.6663787836448982,0.3336212163551018,1578.8052,1581.4226,,,,,,,,,,,95,101,80,"",""
2012-11-12,2013,0,,PHI,MIL,1551.6627,1508.5,0.6951082402460903,0.3048917597539097,1536.3802,1523.7825,,,,,,,,,,,96,105,60,"",""
2012-11-12,2013,0,,PHO,DEN,1502.2552,1583.3124,0.5272339005406136,0.4727660994593864,1511.921,1573.6466,,,,,,,,,,,110,100,65,"",""
2012-11-13,2013,0,,BRK,CLE,1419.1438,1355.3453,0.7196850636361601,0.28031493636383986,1425.2172,1349.272,,,,,,,,,,,114,101,7,"",""
2012-11-13,2013,0,,CHO,WAS,1249.5822,1418.8296,0.4016439262185774,0.5983560737814226,1267.3929,1401.0188,,,,,,,,,,,92,76,1,"",""
2012-11-13,2013,0,,SAC,POR,1401.1909,1440.5146,0.586443178410808,0.41355682158919205,1383.1346,1458.5709,,,,,,,,,,,86,103,14,"",""
2012-11-13,2013,0,,ORL,NYK,1429.6804,1586.0647,0.41956140562370564,0.5804385943762944,1421.3483,1594.3969,,,,,,,,,,,89,99,48,"",""
2012-11-13,2013,0,,IND,TOR,1548.281,1411.3271,0.7964116754975771,0.20358832450242292,1538.7845,1420.8236,,,,,,,,,,,72,74,36,"",""
2012-11-13,2013,0,,LAL,SAS,1533.9518,1681.1229,0.43252939060073153,0.5674706093992685,1529.924,1685.1508,,,,,,,,,,,82,84,88,"",""
2012-11-14,2013,0,,LAC,MIA,1587.7803,1658.7794,0.5416389889366281,0.4583610110633719,1595.3176,1651.2421,,,,,,,,,,,107,100,92,"",""
2012-11-14,2013,0,,OKC,MEM,1660.1361,1620.101,0.6912792744172217,0.3087207255827783,1643.9785,1636.2585,,,,,,,,,,,97,107,95,"",""
2012-11-14,2013,0,,BOS,UTA,1581.4226,1542.0419,0.6904747655367887,0.30952523446321134,1585.342,1538.1224,,,,,,,,,,,98,93,74,"",""
2012-11-14,2013,0,,MIN,CHO,1453.8274,1267.3929,0.838735499750539,0.16126450024946104,1443.3126,1277.9077,,,,,,,,,,,87,89,2,"",""
2012-11-14,2013,0,,GSW,ATL,1421.0266,1550.0125,0.4583824481668876,0.5416175518331123,1428.04,1542.999,,,,,,,,,,,92,88,38,"",""
2012-11-14,2013,0,,PHO,CHI,1511.921,1578.8052,0.5475136679882919,0.45248633201170807,1503.223,1587.5032,,,,,,,,,,,106,112,67,"",""
2012-11-14,2013,0,,DAL,WAS,1506.0524,1401.0188,0.7649960373088665,0.23500396269113355,1509.1747,1397.8965,,,,,,,,,,,107,101,25,"",""
2012-11-14,2013,0,,HOU,NOP,1495.6868,1456.7892,0.6898801086756143,0.31011989132438567,1499.2172,1453.2588,,,,,,,,,,,100,96,35,"",""
2012-11-14,2013,0,,PHI,DET,1536.3802,1392.1873,0.8030848308757129,0.19691516912428708,1505.9783,1422.5892,,,,,,,,,,,76,94,28,"",""
2012-11-14,2013,0,,MIL,IND,1523.7825,1538.7845,0.6199386464335468,0.3800613535664532,1532.9365,1529.6305,,,,,,,,,,,99,85,60,"",""
